Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2021/138,Construction of Input-Output Tables for the Economy of Shetland Islands,"James Black, University of Strathclyde
Adam McGeoch, University of Strathclyde
Kevin Connolly,
University of Strathclyde
Mairi Spowage,
University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database , Annual Business Survey, Annual Population Survey",UK Data Archive,9/22/2021
2021/145,"Economic, Social and Environmental Multipliers for the Construction and Build Environment Activity in Scotland","James Black, University of Strathclyde
Calum Fox,
University of Strathclyde
Adam McGeoch, University of Strathclyde
Mairi Spowage, University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Population Survey, Annual Purchases Survey, Business Structure Database, Labour Force Survey",Office of National Statistics Secure Research Service,9/27/2021
2021/147,Intergenerational Inequalities: sources across jobs and labour markets,"Gabriele Guaitoli,
University of Warwick
Beatrice Boileau,
Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Survey for Hours and Earnings / Census 2011 Linked Datase, Business Structure Database, Annual Survey for Hours and Earnings Longitudinal, Employer Skill Survey, Annual Business Survey",Office of National Statistics Secure Research Service,10/01/2021
2020/036,Centre for Research on Energy Demand Solutions - Flight Emissions,"Milena BÃ¼chs,
University of Leeds",Digital Economy Act (2017),Office for National Statistics: Living Costs and Food Survey,UK Data Archive,5/29/2020
2021/148,"Suicide, ethnicity, and migratory status: analysis of national mortality data in England and Wales","Duleeka Knipe,
University of Bristol",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021s Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021s Act 2007 - Approved Researcher Gateway,Office for National Statistics / NHSD: Public Health Research Database,Office of National Statistics Secure Research Service,11/02/2021
2021/128,The Missing Rich: Correcting for Non-response in the Wealth and Assets Survey,"Benjamin Tippet, University of Greenwich
Rafael Wildauer,
University of Greenwich
Ozlem Onaran,
University of Greenwich",Digital Economy Act (2017),Office for National Statistics: Wealth and Assets Survey,Office of National Statistics Secure Research Service,09/01/2021
2021/135,Are assessments of innovation projects good predictors of success?,"Jose Argudo,
UK Research and Innovation
James Currer,
Innovate UK
Teo Firpo,
Nesta
Stuart David Thompson,
Innovate UK",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Structure Database",Office of National Statistics Secure Research Service,2021-11-02
2021/139,Innovation failure and firm survival: The case of the UK tourism industry,"Yoo Ri Kim,
University of Surrey",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Structure Database
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",UK Data Archive,2021-09-14
2021/140,"Well-being, wages, hours of work, and income","Ian Walker,
University of Lancaster
Yu Zhu,
University of Dundee",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,UK Data Archive,2021-09-24
2021/143,The Impact of Automatic Enrolment in Workplace Pensions on Wages and Productivity,"Daniel Schaefer,
Johannes Kepler University
Rachel Elizabeth Scarfe,
The University of Edinburgh",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings",Office of National Statistics Secure Research Service,2021-09-17
2021/150,Intergenerational wealth transfers,"David Sturrock, Institute for Fiscal Studies
Rowena Crawford, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Wealth and Assets Survey,Office of National Statistics Secure Research Service,2021-10-05
2021/151,Economy 2030 Inquiry: Places research strand,"Henry Overman,
London School of Economics
Guglielmo Ventura,
London School of Economics
Anna Sivropoulos-Valero,
London School of Economics
Lindsay Judge,
Resolution Foundation
Aneurin Cominetti,
Resolution Foundation
Helene Donnat,
London School of Economics and Political Science
Molly Broome, Resolution Foundation
Karl Handscomb, Resolution Foundation
Krishan Shah, Resolution Foundation",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Population Survey , Annual Survey of Hours and Earnings, Business Structure Database, Labour Force Survey , Labour Force Survey , Labour Force Survey , UK Gross Value Added
Institute for Economic and Social Research: Secure Access version of Understanding Society Data and Harmonised BHPS Geography files, Understanding Society",Office of National Statistics Secure Research Service,2021-10-13
2021/152,Modelling mortality risk using socio-economic variations,"Jie Wen,
Heriot-Watt University",Digital Economy Act (2017),"Office for National Statistics: Death Registrations, England and Wales",Office of National Statistics Secure Research Service,2021-10-26
2021/153,"Assessing inequalities in health, wellbeing, and social participation outcomes for young carers in the UK","Rebecca Lacey,
University College London
Lynne Forrest,
The University of Edinburgh",Digital Economy Act (2017),Office for National Statistics: Longitudinal Study of England and Wales,Office of National Statistics Secure Research Service,2021-11-02
2021/155,Improving regional capital investment statistics,"Josh Martin,
Office for National Statistics
Michael Becker,
Office for National Statistics
Jason Murphy,
Office for National Statistics
Laura Garcia Blasco,
Office for National Statistics",Digital Economy Act (2017),"Office for National Statistics: Annual Acquisition and Disposals of Capital Assets Survey, Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database,
Quarterly Acquisitions and Disposals of Capital Assets Survey, Quarterly Capital Expenditure Survey, Annual Business Inquiry",Office of National Statistics Secure Research Service,2021-10-12
2021/156,Creative Industries Tax Relief Evaluation,"Nicholas Robin,
London Economics
Rohit Ladher,
London Economics
James Cannings,
London Economics
Rhys John Williams,
London Economics
Lucy Manly,
London Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database",Office of National Statistics Secure Research Service,2021-12-10
2021/158,"Cities, Levelling Up and Productivity","Helen Simpson, University of Bristol
Ellen Jennifer Greaves,
University of Bristol",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Quarterly Labour Force Survey, Labour Force Survey Household Datasets, Business Structure Database, Annual Business Survey",UK Data Archive,2021-10-26
2021/160,Linking National and Regional Income Inequality: Cross-Country Data Harmonization and Analysis,"Pawel Bukowski, London School of Economics; and University College London
Mihaela Pop,
London School of Economics and Political Science
Neil Lee,
London School of Economics
Mark Fransham, London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: New Earnings Survey Panel Dataset, Annual Survey of Hours and Earnings, Annual Respondents Database , Annual Business Survey, Business Structure Database , Annual Respondents Database X
Institute for Economic and Social Research: BHPS, Waves 1-18, Understanding Society Waves 1-9 and Harmonised BHPS: Waves 1-18",UK Data Archive,10/26/2021
2021/161,Workers and firms under Brexit uncertainty,"Mattia Di Ubaldo,
University of Sussex
Michael Gasiorek,
University of Sussex
Barry Reilly,
University of Sussex
Aldo Sandoval Hernandez,
University of Sussex
Ruby Acquah, University of Sussex",Digital Economy Act (2017),"Office for National Statistics: Employer Skills Survey, Annual Population Survey, Quarterly Labour Force Survey, Business Structure Database, Annual Business Survey, Annual Respondents Database X, Annual Respondents Database, Business Register and Employment Survey, Business Insights and Conditions Survey, Waves 1-27",UK Data Archive,10/26/2021
2021/162,"Labour Flow Networks, Shocks, and Resilience","Omar Guerrero,
The Alan Turing Institute
Kathyrn Fair,
The Alan Turing Institute",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey,Office of National Statistics Secure Research Service,10/10/2021
2021/164,Investigating the wellbeing returns from post-school education in Scotland,"Zoe Mackay,
Skills Development Scotland
Yulia Anopa,
Scottish Government
James Miller,
Scottish Government
Gillian Wylie,
Skills Development Scotland
Rebecca McCartan,
Skills Development Scotland",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office of National Statistics Secure Research Service,2021-11-02
2021/144,Decomposing differences in wages across the UK,"Barney Evans,
HM Treasury
Sam Fogg,
HM Treasury
Aaron Walton,
Office for National Statistics
Rhiannon Edge,
University of Lancaster
Sarah Beale,
University College London
Richard Prothero,
Office for National Statistics
Theocharis Kromydas, University of Glasgow",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021s Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021s Act 2007 - Approved Researcher Gatway,Office for National Statistics: Annual Survey of Hours and Earnings,Integrated Data Service,2021-09-23
2021/012,Investigating epidemiological insights for the COVID19 infection across the UK,"Isabel Bennett,
Department of Health
Ellen Brooks-Pollock,
University of Bristol
Thomas House,
The University of Manchester
Martyn Fyles,
The University of Manchester
Lorenzo Pellis,
The University of Manchester
Matthew Katz,
Department of Health
Katy Gaythorpe,
Imperial College London
Nicholas Grassly, Imperial College London
Natsuko Imai, Imperial College London
Neil Ferguson,
Imperial College London
Joshua Blake,
University of Cambridge
Louise Dyson,
University of Warwick
Sebastian Funk,
London School of Hygiene and Tropical Medicine
Elizabeth Fearon,
London School of Hygiene and Tropical Medicine
Adam Kucharski,
London School of Hygiene and Tropical Medicine
Leon Danon,
University of Exeter
Robert Challen,
University of Exeter
Paul Birrell,
Public Health England
Deirdre Hollingsworth,
University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey , Annual Population Survey , Annual Survey of Hours and Earnings, Business Impact of COVID-19 Survey, Business Structure Database, Coronavirus and the social impacts on Great Britain, Linked Census and death
occurrences
Office for National Statistics / University of Oxford: COVID-19 Infection Survey",Office of National Statistics Secure Research Service,2021-03-15
