Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2023/098,2023/098,Understanding the Impacts of Time in Care on Educational Attainment of Young Adults Aged 16-18 in England,"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Children in Need, Children Looked After, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",2023-06-22,2023,ok,Education & Skills; Health & Social Care,Outcome Tracking,,"Assigned Education & Skills and Health & Social Care because the title studies the impact of time in care on educational attainment using Children in Need, Children Looked After, exclusions, absences, and School Census data; Outcome Tracking because it links time in care to later educational attainment for young adults aged 16-18; no tag because no COVID-19 or demographic/equality comparison is central.",,
2023/100,2023/100,"Exploring the nexus between immigration, integration and labour market outcomes",Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,2023-07-03,2023,ok,Migration & Demographics; Labour Market & Employment,Outcome Tracking,Demographic disparities / equity tag,"Assigned Migration & Demographics and Labour Market & Employment because the title centres on immigration, integration, and labour market outcomes using ASHE linked to Census data; Outcome Tracking because it links immigration/integration status to labour-market outcomes; Demographic disparities / equity tag because migrant or immigrant status is central to the comparison.",,
2023/102,2023/102,The importance a competitive retail investment environment can have on peoples financial planning and long-term government spending,Office for National Statistics: Wealth and Assets Survey - Great Britain,2023-07-04,2023,ok,"Poverty, Wealth & Living Standards; Public Finance & Taxation",Outcome Tracking,,"Assigned Poverty, Wealth & Living Standards and Public Finance & Taxation because the title concerns people's financial planning and long-term government spending using the Wealth and Assets Survey; Outcome Tracking because it examines how a competitive retail investment environment may relate to financial planning and public spending outcomes rather than evaluating a named policy; no tag because neither COVID-19 nor demographic/equality comparison is central.",,
2023/106,2023/106,The disability pay gap: Exploring the role of the firm,Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,2023-07-13,2023,ok,Labour Market & Employment,Descriptive Monitoring; Outcome Tracking,Demographic disparities / equity tag,Assigned Labour Market & Employment because the title focuses on the disability pay gap using ASHE linked to Census data; Descriptive Monitoring and Outcome Tracking because it measures a pay gap and explores the role of firms in explaining pay outcomes; Demographic disparities / equity tag because disability-based pay inequality is central.,,
2023/110,2023/110,Social inequalities in education outcomes in NI,Northern Ireland Statistics and Research Agency: EOL,2023-07-06,2023,ok,Education & Skills,Descriptive Monitoring,,Assigned Education & Skills because the title focuses on education outcomes in Northern Ireland using the EOL education-outcomes linkage data; Descriptive Monitoring because it characterises social inequalities in education outcomes; no tag because the title indicates social inequality but not a central demographic or equality-relevant group comparison.,,
2023/113,2023/113,The Influence of Early Life Health and Nutritional Environment on Later Life Health and Morbidity,Office for National Statistics: Longitudinal Study,2023-07-07,2023,ok,Health & Social Care,Outcome Tracking; Life-Course / Trajectory Analysis,,Assigned Health & Social Care because the title studies later-life health and morbidity in relation to early-life health and nutrition using the ONS Longitudinal Study; Outcome Tracking and Life-Course / Trajectory Analysis because it links early-life conditions to later-life health across the life course; no tag because neither COVID-19 nor a demographic/equality comparison is central.,,
2023/114,2023/114,The Impact of Compulsory Education on Occupational Sorting and Earning Stability,"Office for National Statistics (ONS): Annual Survey of Hours and Earnings (ASHE)
Office for National Statistics (ONS): Labour Force Survey Person
Office for National Statistics (ONS): Labour Force Survey Longitudinal
Office for National Statistics (ONS): Annual Survey of Hours and Earnings Longitudinal",2023-07-07,2023,ok,Labour Market & Employment; Education & Skills,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Education & Skills because the title studies compulsory education effects on occupational sorting and earnings stability using ASHE and LFS labour datasets; Policy Evaluation / Impact Analysis because it frames compulsory education as the intervention whose impact is being estimated; no tag assigned because no demographic-equity or COVID-19 lens is central.,,
2023/116,2023/116,Northern Ireland Licensing Review - Economic Impacts,"Office for National Statistics: Annual Business Survey - UK, Business Register Employment Survey - UK, Annual Survey of Hours and Earnings - UK",2023-07-10,2023,ok,Labour Market & Employment; Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Labour Market & Employment and Business & Productivity because the Northern Ireland Licensing Review is assessed for economic impacts using business, employment, and earnings datasets; Policy Evaluation / Impact Analysis because the title concerns impacts of a named licensing review; no tag assigned because no demographic-equity or COVID-19 lens is central.",,
2023/125,2023/125,The Disability Employment Gap in Scotland,"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Annual Population Survey Longitudinal - UK",2023-07-13,2023,ok,Labour Market & Employment,Descriptive Monitoring,Demographic disparities / equity tag,Assigned Labour Market & Employment because the title focuses on the disability employment gap in Scotland using APS and LFS labour datasets; Descriptive Monitoring because it is framed as measuring an employment gap; Demographic disparities / equity tag because disability-based comparison is central.,,
2023/132,2023/132,UK Productivity Puzzle,"Office for National Statistics: Annual Business Survey, Capital Stock Dataset, Business Structure Database, Annual Respondents Database, Quarterly Capital Expenditure Survey",2023-08-21,2023,ok,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the UK productivity puzzle is studied with business, capital stock, respondents, and capital expenditure datasets; Descriptive Monitoring because the entry indicates analysis of productivity levels or patterns rather than a named intervention or prediction; no tag assigned because no demographic-equity or COVID-19 lens is central.",,
